"sample_name","sequencing_kits","species","taxid","reads_dir","reference_path"
"ATCC_10708__202309","SQK-NBD114-96;SQK-RBK114.96","Salmonella_enterica","28901","source1","source2"
"ATCC_17802__202309","SQK-NBD114-96;SQK-RBK114.96","Vibrio_parahaemolyticus","670","source1","source2"
"ATCC_25922__202309","SQK-NBD114-96;SQK-RBK114.96","Escherichia_coli","562","source1","source2"
"ATCC_33560__202309","SQK-NBD114-96;SQK-RBK114.96","Campylobacter_jejuni","197","source1","source2"
"ATCC_35221__202309","SQK-NBD114-96;SQK-RBK114.96","Campylobacter_lari","201","source1","source2"
"ATCC_19119__202309","SQK-NBD114-96;SQK-RBK114.96","Listeria_ivanovii","1638","source1","source2"
"ATCC_35897__202309","SQK-NBD114-96;SQK-RBK114.96","Listeria_welshimeri","1643","source1","source2"
"ATCC_BAA-679__202309","SQK-NBD114-96;SQK-RBK114.96","Listeria_monocytogenes","1639","source1","source2"
"BPH2947__202310","SQK-NBD114-96;SQK-RBK114.96","Staphylococcus_aureus","1280","source1","source2"
"AJ292__202310","SQK-NBD114-96;SQK-RBK114.96","Klebsiella_variicola","244366","source1","source2"
"KPC2__202310","SQK-NBD114-96;SQK-RBK114.96","Klebsiella_pneumoniae","573","source1","source2"
"RDH275__202311","SQK-NBD114-96;SQK-RBK114.96","Streptococcus_pyogenes","1314","source1","source2"
"MMC234__202311","SQK-NBD114-96;SQK-RBK114.96","Streptococcus_dysgalactiae","1334","source1","source2"
"AMtb_1__202402","SQK-NBD114-96;SQK-RBK114.96","Mycobacterium_tuberculosis","1773","source1","source2"
