combo,depth,sample,model,Mismatches per 100kbp,Indels per 100kbp,NGA50,NGA50_norm,auNGA,auNGA_norm,Duplication_ratio,misassemblies,excess_contigs,contamination_count,full_missed,partial_missed,total_missed,missed_contig_details,all_contigs_coverage
chopper-barbell,100x,AJ292__202310,hac,0.0,0.5,5445109.0,0.9999957760436294,5445086.0,0.9999915520872588,1.0,0,0,0,0,0,0,,"chromosome (5445132bp, 99.9995% cov)"
chopper-barbell,20x,AJ292__202310,hac,0.15,0.84,5439228.0,0.998915728764702,5433336.6,0.997833771522894,1.0,2,1,0,0,0,0,,"chromosome (5445132bp, 99.9994% cov)"
chopper-barbell,100x,AJ292__202310,sup,0.0,0.02,5445131.0,0.999999816349723,5445130.0,0.999999632699446,1.0,0,0,0,0,0,0,,"chromosome (5445132bp, 100% cov)"
chopper-barbell,20x,AJ292__202310,sup,0.0,0.09,5445133.0,1.000000183650277,5445134.0,1.000000367300554,1.0,0,0,0,0,0,0,,"chromosome (5445132bp, 100% cov)"
chopper-barbell,100x,AMtb_1__202402,hac,0.0,0.41,4405431.0,0.9999959141508618,4405413.0,0.9999918283017236,1.0,0,0,0,0,0,0,,"chromosome (4405449bp, 99.9996% cov)"
chopper-barbell,20x,AMtb_1__202402,hac,0.11,0.84,4405434.0,0.999996595125718,4405419.0,0.9999931902514364,1.0,0,0,0,0,0,0,,"chromosome (4405449bp, 99.9994% cov)"
chopper-barbell,100x,AMtb_1__202402,sup,0.0,0.09,4405445.0,0.9999990920335248,4405441.0,0.9999981840670495,1.0,0,0,0,0,0,0,,"chromosome (4405449bp, 99.9999% cov)"
chopper-barbell,20x,AMtb_1__202402,sup,0.0,0.11,4405449.0,1.0,4405449.0,1.0,1.0,0,0,0,0,0,0,,"chromosome (4405449bp, 99.9999% cov)"
chopper-barbell,100x,ATCC_10708__202309,hac,0.02,0.58,4752111.0,0.9999985269726046,4703583.4,1.0000057989065751,1.005,0,3,0,0,0,0,,"chromosome (4752118bp, 99.9996% cov); plasmid (49586bp, 99.9919% cov)"
chopper-barbell,20x,ATCC_10708__202309,hac,0.46,1.44,4752120.0,1.0000004208649702,4703569.0,1.000002737393197,1.001,0,1,0,0,0,0,,"chromosome (4752118bp, 99.9994% cov); plasmid (49586bp, 99.996% cov)"
chopper-barbell,100x,ATCC_10708__202309,sup,0.04,0.17,4752114.0,0.9999991582700598,4703584.1,1.000005947730142,1.004,0,2,0,0,0,0,,"chromosome (4752118bp, 99.9999% cov); plasmid (49586bp, 99.9899% cov)"
chopper-barbell,20x,ATCC_10708__202309,sup,1.12,1.33,3054635.0,0.6427944339765974,2435491.4,0.517797882182145,1.002,1,4,0,0,0,0,,"chromosome (4752118bp, 99.96% cov); plasmid (49586bp, 99.9939% cov)"
chopper-barbell,100x,ATCC_17802__202309,hac,0.17,0.29,3281435.0,0.99999756204816,2768249.5,0.9999944881994628,1.0,0,1,0,0,0,0,,"chromosome_1 (3281443bp, 99.9998% cov); chromosome_2 (1865648bp, 99.9996% cov)"
chopper-barbell,20x,ATCC_17802__202309,hac,1.48,1.32,3275975.0,0.9983336599172986,2761294.9,0.997482228496126,1.0,0,1,0,0,0,0,,"chromosome_1 (3281443bp, 99.8299% cov); chromosome_2 (1865648bp, 99.9996% cov)"
chopper-barbell,100x,ATCC_17802__202309,sup,0.0,0.04,3281442.0,0.99999969525602,2768264.2,0.9999997983851874,1.0,0,1,0,0,0,0,,"chromosome_1 (3281443bp, 100% cov); chromosome_2 (1865648bp, 100% cov)"
chopper-barbell,20x,ATCC_17802__202309,sup,0.02,0.14,3281146.0,0.9999094910379368,2767885.4,0.9998629617625744,1.0,0,1,0,0,0,0,,"chromosome_1 (3281443bp, 99.9909% cov); chromosome_2 (1865648bp, 99.9999% cov)"
chopper-barbell,100x,ATCC_19119__202309,hac,0.0,0.17,2919544.0,0.9999982874067194,2919551.4,1.0000008220447747,1.002,0,1,0,0,0,0,,"chromosome (2919549bp, 99.9998% cov)"
chopper-barbell,20x,ATCC_19119__202309,hac,0.0,0.58,2919537.0,0.9999958897761264,2919537.4,0.9999960267835888,1.002,0,1,0,0,0,0,,"chromosome (2919549bp, 99.9995% cov)"
chopper-barbell,100x,ATCC_19119__202309,sup,0.1,0.17,2919533.0,0.999994519701502,2919529.4,0.9999932866343396,1.002,0,1,0,0,0,0,,"chromosome (2919549bp, 99.9995% cov)"
chopper-barbell,20x,ATCC_19119__202309,sup,0.14,0.31,2919537.0,0.9999958897761264,2919537.3,0.9999959925317232,1.002,0,2,0,0,0,0,,"chromosome (2919549bp, 99.9995% cov)"
chopper-barbell,100x,ATCC_25922__202309,hac,0.11,0.19,5132216.0,0.9999992206101844,5056233.6,1.0000102242341704,1.005,1,1,0,0,0,0,,"chromosome (5132220bp, 99.9999% cov); plasmid_1 (48488bp, 98.2511% cov); plasmid_2 (24185bp, 100.0% cov); plasmid_3 (3173bp, 100.0% cov); plasmid_4 (1919bp, 100.0% cov)"
chopper-barbell,20x,ATCC_25922__202309,hac,5.34,5.4,1689127.0,0.3291220953115805,1531130.4,0.3028234404826064,1.007,5,3,0,0,0,0,,"chromosome (5132220bp, 99.9978% cov); plasmid_1 (48488bp, 98.2965% cov); plasmid_2 (24185bp, 100.0% cov); plasmid_3 (3173bp, 100.0% cov); plasmid_4 (1919bp, 100.0% cov)"
chopper-barbell,100x,ATCC_25922__202309,sup,0.0,0.02,5132219.0,0.999999805152546,5056247.4,1.000012953566355,1.006,4,1,0,0,0,0,,"chromosome (5132220bp, 100.0% cov); plasmid_1 (48488bp, 98.2367% cov); plasmid_2 (24185bp, 100.0% cov); plasmid_3 (3173bp, 100.0% cov); plasmid_4 (1919bp, 100.0% cov)"
chopper-barbell,20x,ATCC_25922__202309,sup,0.02,0.12,5132220.0,1.0,5056130.0,0.9999897344650208,1.0,1,0,0,1,0,1,"plasmid_4 (1919bp, 0.0% cov)","chromosome (5132220bp, 100.0% cov); plasmid_1 (48488bp, 98.2305% cov); plasmid_2 (24185bp, 100.0% cov); plasmid_3 (3173bp, 100.0% cov); plasmid_4 (1919bp, 0.0% cov)"
chopper-barbell,100x,ATCC_33560__202309,hac,0.51,0.34,1768447.0,0.999999434532426,1768446.0,0.9999988690648524,1.0,0,0,0,0,0,0,,"chromosome (1768448bp, 99.9998% cov)"
chopper-barbell,20x,ATCC_33560__202309,hac,2.44,3.12,809356.0,0.4576645736826867,798438.0,0.4514907987116386,1.0,1,2,0,0,0,0,,"chromosome (1768448bp, 99.7843% cov)"
chopper-barbell,100x,ATCC_33560__202309,sup,0.51,0.11,1768445.0,0.9999983035972784,1768442.0,0.9999966071945572,1.0,0,0,0,0,0,0,,"chromosome (1768448bp, 99.9998% cov)"
chopper-barbell,20x,ATCC_33560__202309,sup,5.5,2.35,540600.0,0.3056917704111175,615981.1,0.3483173381405616,0.997,3,2,0,0,0,0,,"chromosome (1768448bp, 98.9001% cov)"
chopper-barbell,100x,ATCC_35221__202309,hac,0.33,0.33,1513361.0,0.9999953745552964,1513354.0,0.999990749110593,1.0,0,0,0,0,0,0,,"chromosome (1513368bp, 99.9995% cov)"
chopper-barbell,20x,ATCC_35221__202309,hac,6.74,5.09,1513400.0,1.000021144890073,1513432.0,1.000042289780146,1.0,0,0,0,0,0,0,,"chromosome (1513368bp, 99.9911% cov)"
chopper-barbell,100x,ATCC_35221__202309,sup,1.06,0.59,1500749.0,0.9916616447552744,1488356.2,0.9834727574522522,1.001,0,1,0,0,0,0,,"chromosome (1513368bp, 99.9995% cov)"
chopper-barbell,20x,ATCC_35221__202309,sup,3.84,1.79,1199329.0,0.7924899958238842,989943.4,0.6541326366092054,1.0,1,3,0,0,0,0,,"chromosome (1513368bp, 99.8359% cov)"
chopper-barbell,100x,ATCC_35897__202309,hac,0.07,0.11,2814136.0,0.9999996446512732,2814147.9,1.000003873301122,1.002,0,1,0,0,0,0,,"chromosome (2814137bp, 99.9999% cov)"
chopper-barbell,20x,ATCC_35897__202309,hac,0.35,0.64,2814131.0,0.9999978679076392,2814137.9,1.000000319813854,1.002,0,1,0,0,0,0,,"chromosome (2814137bp, 99.9996% cov)"
chopper-barbell,100x,ATCC_35897__202309,sup,0.04,0.07,2814137.0,1.0,2814149.9,1.0000045839985758,1.002,0,1,0,0,0,0,,"chromosome (2814137bp, 100% cov)"
chopper-barbell,20x,ATCC_35897__202309,sup,0.21,0.11,2814136.0,0.9999996446512732,2814147.9,1.000003873301122,1.002,0,1,0,0,0,0,,"chromosome (2814137bp, 99.9999% cov)"
chopper-barbell,100x,ATCC_BAA-679__202309,hac,0.34,0.68,2944523.0,0.9999976227105852,2944528.3,0.999999422658285,1.002,0,1,0,0,0,0,,"chromosome (2944530bp, 99.9997% cov)"
chopper-barbell,20x,ATCC_BAA-679__202309,hac,0.14,0.98,2944527.0,0.9999989811616794,2944524.0,0.9999979623233588,1.0,0,0,0,0,0,0,,"chromosome (2944530bp, 99.9994% cov)"
chopper-barbell,100x,ATCC_BAA-679__202309,sup,0.0,0.0,2944530.0,1.0,2944540.0,1.0000033961277353,1.002,1,1,0,0,0,0,,"chromosome (2944530bp, 100% cov)"
chopper-barbell,20x,ATCC_BAA-679__202309,sup,0.31,0.47,2944529.0,0.9999996603872264,2944538.7,1.0000029546311298,1.002,0,1,0,0,0,0,,"chromosome (2944530bp, 99.9999% cov)"
chopper-barbell,100x,BPH2947__202310,hac,0.0,0.06,3049601.0,0.9999993441769306,3019813.0,0.9999986948522904,1.0,0,0,0,0,0,0,,"chromosome (3049603bp, 99.9999% cov); plasmid_1 (27319bp, 100.0% cov); plasmid_2 (3011bp, 100.0% cov)"
chopper-barbell,20x,BPH2947__202310,hac,1.1,2.18,1649211.0,0.5407953100780659,1299374.5,0.4302825387281753,1.001,1,2,0,0,0,0,,"chromosome (3049603bp, 99.865% cov); plasmid_1 (27319bp, 99.9963% cov); plasmid_2 (3011bp, 100.0% cov)"
chopper-barbell,100x,BPH2947__202310,sup,1.14,0.26,2933055.0,0.9617825664520924,2795224.8,0.9256272331494546,1.0,1,2,0,0,0,0,,"chromosome (3049603bp, 99.9863% cov); plasmid_1 (27319bp, 98.3857% cov); plasmid_2 (3011bp, 100.0% cov)"
chopper-barbell,20x,BPH2947__202310,sup,1.54,2.03,460813.0,0.1511058980464014,510263.5,0.1689716661365328,1.001,9,8,0,0,0,0,,"chromosome (3049603bp, 99.4045% cov); plasmid_1 (27319bp, 100.0% cov); plasmid_2 (3011bp, 100.0% cov)"
chopper-barbell,100x,MMC234__202311,hac,0.54,0.63,2204980.0,0.999997732410878,2204990.6,1.000002539699817,1.003,0,1,0,0,0,0,,"chromosome (2204985bp, 99.9995% cov)"
chopper-barbell,20x,MMC234__202311,hac,1.54,2.99,2205015.0,1.0000136055347315,2205060.6,1.0000342859475235,1.003,0,1,0,0,0,0,,"chromosome (2204985bp, 99.999% cov)"
chopper-barbell,100x,MMC234__202311,sup,0.18,0.41,2204967.0,0.999991836679161,2204965.1,0.9999909749952948,1.003,0,1,0,0,0,0,,"chromosome (2204985bp, 99.9991% cov)"
chopper-barbell,20x,MMC234__202311,sup,0.68,1.41,2125387.0,0.963900888214659,2050166.1,0.9297868692984308,1.0,0,2,0,0,0,0,,"chromosome (2204985bp, 99.5793% cov)"
chopper-barbell,100x,RDH275__202311,hac,0.06,0.28,1793504.0,0.999998327299531,1793522.1,1.0000084192590273,1.003,0,2,0,0,0,0,,"chromosome (1793507bp, 99.9998% cov)"
chopper-barbell,20x,RDH275__202311,hac,2.1,4.59,1498454.0,0.8354882361763851,1277970.9,0.7125541745864387,1.009,2,5,0,0,0,0,,"chromosome (1793507bp, 99.936% cov)"
chopper-barbell,100x,RDH275__202311,sup,0.0,0.11,1793505.0,0.999998884866354,1793524.1,1.0000095343926731,1.003,0,2,0,0,0,0,,"chromosome (1793507bp, 99.9999% cov)"
chopper-barbell,20x,RDH275__202311,sup,0.44,0.78,1794432.0,1.0005157493112655,1795377.3,1.001042817229038,1.004,0,2,0,0,0,0,,"chromosome (1793507bp, 99.9997% cov)"
chopper-dorado,100x,AJ292__202310,hac,0.0,0.53,5445107.0,0.9999954087430756,5445082.0,0.9999908174861508,1.0,0,0,0,0,0,0,,"chromosome (5445132bp, 99.9995% cov)"
chopper-dorado,20x,AJ292__202310,hac,0.18,1.03,5445116.0,0.9999970615955684,5445100.0,0.9999941231911366,1.0,0,0,0,0,0,0,,"chromosome (5445132bp, 99.9993% cov)"
chopper-dorado,100x,AJ292__202310,sup,1.14,1.92,5445130.0,0.999999632699446,5445146.6,1.000002681294044,1.002,0,1,0,0,0,0,,"chromosome (5445132bp, 100% cov)"
chopper-dorado,20x,AJ292__202310,sup,0.0,0.09,5445129.0,0.999999449049169,5445126.0,0.999998898098338,1.0,0,0,0,0,0,0,,"chromosome (5445132bp, 99.9999% cov)"
chopper-dorado,100x,AMtb_1__202402,hac,0.0,0.32,4405435.0,0.999996822117337,4405421.0,0.999993644234674,1.0,0,0,0,0,0,0,,"chromosome (4405449bp, 99.9997% cov)"
chopper-dorado,20x,AMtb_1__202402,hac,0.2,0.73,4404804.0,0.9998535904058814,4404159.1,0.9997072035109248,1.0,0,0,0,0,0,0,,"chromosome (4405449bp, 99.9852% cov)"
chopper-dorado,100x,AMtb_1__202402,sup,0.0,0.09,4405445.0,0.9999990920335248,4405441.0,0.9999981840670495,1.0,0,0,0,0,0,0,,"chromosome (4405449bp, 99.9999% cov)"
chopper-dorado,20x,AMtb_1__202402,sup,0.02,0.2,4405446.0,0.9999993190251436,4405443.0,0.9999986380502872,1.0,0,0,0,0,0,0,,"chromosome (4405449bp, 99.9999% cov)"
chopper-dorado,100x,ATCC_10708__202309,hac,0.19,0.54,4752104.0,0.9999970539452092,4703564.4,1.0000017594097568,1.004,0,3,0,0,0,0,,"chromosome (4752118bp, 99.9997% cov); plasmid (49586bp, 99.996% cov)"
chopper-dorado,20x,ATCC_10708__202309,hac,0.39,2.03,3054624.0,0.6427921192192618,2435490.0,0.517797584535011,1.004,2,9,0,0,0,0,,"chromosome (4752118bp, 99.9602% cov); plasmid (49586bp, 99.998% cov)"
chopper-dorado,100x,ATCC_10708__202309,sup,0.02,0.39,4752113.0,0.9999989478375748,4703577.0,1.0000044382339626,1.007,0,4,0,0,0,0,,"chromosome (4752118bp, 99.9999% cov); plasmid (49586bp, 99.9899% cov)"
chopper-dorado,20x,ATCC_10708__202309,sup,0.1,0.75,3054617.0,0.6427906461918664,2435469.8,0.5177932899120777,1.002,1,4,0,0,0,0,,"chromosome (4752118bp, 99.9166% cov); plasmid (49586bp, 99.9939% cov)"
chopper-dorado,100x,ATCC_17802__202309,hac,0.21,0.23,3281435.0,0.99999756204816,2768250.9,0.9999949939314364,1.0,0,1,0,0,0,0,,"chromosome_1 (3281443bp, 99.9998% cov); chromosome_2 (1865648bp, 99.9997% cov)"
chopper-dorado,20x,ATCC_17802__202309,hac,0.82,0.6,3281446.0,1.00000091423194,2768266.4,1.0000005931068603,1.0,0,1,0,0,0,0,,"chromosome_1 (3281443bp, 99.9997% cov); chromosome_2 (1865648bp, 99.9996% cov)"
chopper-dorado,100x,ATCC_17802__202309,sup,0.02,0.04,3281442.0,0.99999969525602,2768264.2,0.9999997983851874,1.0,0,1,0,0,0,0,,"chromosome_1 (3281443bp, 100% cov); chromosome_2 (1865648bp, 100% cov)"
chopper-dorado,20x,ATCC_17802__202309,sup,0.74,0.33,3269984.0,0.9965079387330512,2753677.8,0.9947306491980664,1.0,0,1,0,0,0,0,,"chromosome_1 (3281443bp, 99.6443% cov); chromosome_2 (1865648bp, 99.9998% cov)"
chopper-dorado,100x,ATCC_19119__202309,hac,0.07,0.24,2919541.0,0.9999972598507508,2919545.4,0.9999987669328378,1.002,0,2,0,0,0,0,,"chromosome (2919549bp, 99.9997% cov)"
chopper-dorado,20x,ATCC_19119__202309,hac,0.31,1.2,2919552.0,1.0000010275559683,2919567.4,1.0000063023432728,1.002,0,2,0,0,0,0,,"chromosome (2919549bp, 99.9993% cov)"
chopper-dorado,100x,ATCC_19119__202309,sup,0.0,0.27,2919530.0,0.9999934921455336,2919523.4,0.9999912315224028,1.002,0,1,0,0,0,0,,"chromosome (2919549bp, 99.9993% cov)"
chopper-dorado,20x,ATCC_19119__202309,sup,0.0,0.41,2919535.0,0.999995204738814,2919532.3,0.9999942799384424,1.002,0,1,0,0,0,0,,"chromosome (2919549bp, 99.9995% cov)"
chopper-dorado,100x,ATCC_25922__202309,hac,0.1,0.4,5132208.0,0.9999976618305528,5056220.1,1.0000075542352946,1.006,4,1,0,0,0,0,,"chromosome (5132220bp, 99.9997% cov); plasmid_1 (48488bp, 98.2346% cov); plasmid_2 (24185bp, 100.0% cov); plasmid_3 (3173bp, 100.0% cov); plasmid_4 (1919bp, 100.0% cov)"
chopper-dorado,20x,ATCC_25922__202309,hac,0.83,1.78,5132216.0,0.9999992206101844,5056122.5,0.9999882511323122,1.0,0,1,0,0,0,0,,"chromosome (5132220bp, 99.9984% cov); plasmid_1 (48488bp, 98.2367% cov); plasmid_2 (24185bp, 100.0% cov); plasmid_3 (3173bp, 100.0% cov); plasmid_4 (1919bp, 98.3325% cov)"
chopper-dorado,100x,ATCC_25922__202309,sup,0.25,0.36,5132220.0,1.0,5056240.9,1.0000116680113404,1.005,1,0,0,1,0,1,"plasmid_4 (1919bp, 0.0% cov)","chromosome (5132220bp, 100.0% cov); plasmid_1 (48488bp, 98.3315% cov); plasmid_2 (24185bp, 100.0% cov); plasmid_3 (3173bp, 100.0% cov); plasmid_4 (1919bp, 0.0% cov)"
chopper-dorado,20x,ATCC_25922__202309,sup,0.02,0.15,5132221.0,1.000000194847454,5056244.3,1.0000123404555017,1.005,2,1,0,0,0,0,,"chromosome (5132220bp, 99.9999% cov); plasmid_1 (48488bp, 98.2367% cov); plasmid_2 (24185bp, 100.0% cov); plasmid_3 (3173bp, 100.0% cov); plasmid_4 (1919bp, 90.9849% cov)"
chopper-dorado,100x,ATCC_33560__202309,hac,0.57,0.23,1768446.0,0.9999988690648524,1768444.0,0.9999977381297048,1.0,0,0,0,0,0,0,,"chromosome (1768448bp, 99.9998% cov)"
chopper-dorado,20x,ATCC_33560__202309,hac,2.15,1.47,1768458.0,1.0000056546757383,1768468.0,1.0000113093514766,1.0,0,0,0,0,0,0,,"chromosome (1768448bp, 99.9995% cov)"
chopper-dorado,100x,ATCC_33560__202309,sup,0.34,0.11,1768447.0,0.999999434532426,1768446.0,0.9999988690648524,1.0,0,0,0,0,0,0,,"chromosome (1768448bp, 99.9999% cov)"
chopper-dorado,20x,ATCC_33560__202309,sup,2.49,0.62,1768452.0,1.0000022618702953,1768456.0,1.0000045237405906,1.0,0,0,0,0,0,0,,"chromosome (1768448bp, 99.9998% cov)"
chopper-dorado,100x,ATCC_35221__202309,hac,0.26,0.33,1513363.0,0.999996696110926,1513358.0,0.9999933922218522,1.0,0,0,0,0,0,0,,"chromosome (1513368bp, 99.9996% cov)"
chopper-dorado,20x,ATCC_35221__202309,hac,2.58,1.85,1513384.0,1.0000105724450363,1513400.0,1.000021144890073,1.0,0,0,0,0,0,0,,"chromosome (1513368bp, 99.9995% cov)"
chopper-dorado,100x,ATCC_35221__202309,sup,1.32,0.33,1513361.0,0.9999953745552964,1513354.0,0.999990749110593,1.0,0,0,0,0,0,0,,"chromosome (1513368bp, 99.9995% cov)"
chopper-dorado,20x,ATCC_35221__202309,sup,2.05,1.45,1513379.0,1.000007268555963,1513390.0,1.0000145371119251,1.0,0,0,0,0,0,0,,"chromosome (1513368bp, 99.9995% cov)"
